,oid,expid,hjd,bjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
61,1694110100000370,102922796,2458783.733242637,58783.23307827363,20.0361633,0.10096091,0,zg,22.416917,38.7029811,0.874000013,0.141000003,20191027227963,1694,0xa,0x1,21.2299995,26.1786213,0.0343552306,-0.0941736475,9.71779627e-06,30,1.046,3
62,1694110100000370,103221964,2458786.7249220647,58786.22475759121,19.955555,0.0954166949,0,zg,22.4168509,38.7030754,1.31900001,0.0109999999,20191030219618,1694,0xa,0x1,20.7999992,26.1373119,0.0391011946,-0.0727823377,1.37340694e-05,30,1.046,2
63,1694110100000370,103222009,2458786.725373467,58786.22520899051,20.0142345,0.0994297788,0,zg,22.4167713,38.7029847,1.19000006,0.0659999996,20191030220093,1694,0xa,0x1,20.9899998,26.1389904,0.0398745127,-0.0794399455,1.36646768e-05,30,1.04499996,3
64,1694110100000370,103537234,2458789.8776166425,58789.377452042194,20.0857506,0.104485214,0,zg,22.4169256,38.7029987,0.98299998,0.0909999982,20191102372350,1694,0xa,0x1,20.7099991,26.1360931,0.0372706912,-0.0645324439,1.28685579e-05,30,1.16400003,2
65,1694110100000370,103537280,2458789.8780680434,58789.377903438835,20.0102119,0.0991505906,0,zg,22.4169189,38.702883,1.13699996,0.114,20191102372801,1694,0xa,0x1,20.6399994,26.1365547,0.0364904851,-0.0624434054,1.24251856e-05,30,1.16499996,3
66,1694110100000370,103726246,2458791.7677168874,58791.26755221355,19.8692665,0.0897445977,0,zg,22.4168791,38.7029726,0.753000021,-0.0379999988,20191104262465,1694,0xa,0x1,21.3500004,26.1568871,0.0315194018,-0.0718355328,8.1169519e-06,30,1.00199997,2
67,1694110100000370,103726291,2458791.768168282,58791.268003609155,20.1550198,0.109545641,0,zg,22.4168987,38.7030078,0.944999993,-0.0250000004,20191104262917,1694,0xa,0x1,21.2999992,26.1576405,0.0328663401,-0.0747129545,8.90723641e-06,30,1.00199997,3
68,1694110100000370,103918594,2458793.691179163,58793.19101441407,20.1280804,0.107559122,0,zg,22.4168291,38.7029336,0.737999976,-0.143999994,20191106185949,1694,0xa,0x1,20.8899994,26.1256065,0.0299931653,-0.047325749,8.22398579e-06,30,1.07299995,2
69,1694110100000370,103918640,2458793.691630556,58793.19146580856,19.9291592,0.0936523825,0,zg,22.4168901,38.7029935,1.05999994,0.208000004,20191106186389,1694,0xa,0x1,21.0200005,26.1246853,0.0310322363,-0.0462470166,8.33973991e-06,30,1.07200003,3
70,1694110100000370,104119667,2458795.701879726,58795.20171490006,19.926178,0.0934547186,0,zg,22.4168603,38.7029856,0.737999976,-0.217999995,20191108196667,1694,0xa,0x1,20.6499996,26.1556587,0.03038726,-0.0430042967,9.48945399e-06,30,1.04299998,2
71,1694110100000370,104119712,2458795.702331114,58795.20216629311,20.109827,0.106226325,0,zg,22.4168485,38.7031068,1.20500004,-0.143999994,20191108197130,1694,0xa,0x1,20.7700005,26.153307,0.0304669067,-0.0475001857,9.34874879e-06,30,1.04299998,3
72,1694210100000536,57840994,2458332.9104744955,58332.41032350067,19.9461842,0.0967604145,0,zr,22.4168584,38.7029362,0.772000015,0.0309999995,20180802409942,1694,0xa,0x1,20.75,26.1868725,0.0224872399,0.0955490917,3.93572918e-06,30,1.17900002,2
73,1694210100000536,57841040,2458332.910937531,58332.4107865412,20.3113365,0.127089947,0,zr,22.4169178,38.702958,0.36500001,0.0839999989,20180802410394,1694,0xa,0x1,20.8400002,26.1770248,0.0249397177,0.0995679721,4.85861392e-06,30,1.17799997,2
74,1694210100000536,58042643,2458334.927142581,58334.42699154945,20.0483074,0.104541034,0,zr,22.4168849,38.7029766,0.501999974,-0.0109999999,20180804426435,1694,0xa,0x1,21.1599998,26.2296467,0.0228631087,0.0977043286,4.06475556e-06,30,1.10899997,2
75,1694210100000536,58142254,2458335.9233399127,58335.42318886131,20.2626915,0.12264619,0,zr,22.4169163,38.7029348,0.574999988,0.0419999994,20180805422535,1694,0xa,0x1,21.2399998,26.2446671,0.0192246847,0.103004605,2.89828017e-06,30,1.11300004,2
76,1694210100000536,58142299,2458335.9237913517,58335.42364030059,20.1810913,0.115469858,0,zr,22.4168971,38.7029783,0.65200001,-0.158999994,20180805422986,1694,0xa,0x1,21.2999992,26.2430935,0.0191500001,0.100214072,2.88364117e-06,30,1.11099994,2
77,1694210100000536,58244446,2458336.94534952,58336.44519844661,20.1775665,0.115167864,0,zr,22.4168719,38.7029836,0.583000004,-0.112999998,20180806444213,1694,0xa,0x1,21.1599998,26.2555943,0.0192943309,0.105884284,2.92909203e-06,30,1.05700004,2
78,1694210100000536,58244586,2458336.9467501407,58336.44659906804,20.2742825,0.123693958,0,zr,22.416846,38.7030159,0.375999987,-0.00800000038,20180806445845,1694,0xa,0x1,20.8500004,26.2702827,0.0206774008,0.102585979,3.35631739e-06,30,1.05400002,2
79,1694210100000536,59045231,2458344.9538794127,58344.453728177716,20.0518436,0.104820088,0,zr,22.4169267,38.7029474,0.437999994,0.0,20180814452292,1694,0xa,0x1,21.7800007,26.2096214,0.0218142681,0.103479937,3.89367506e-06,30,1.01600003,2
